"","Age","Employment.Type","GraduateOrNot","AnnualIncome","FamilyMembers","ChronicDiseases","FrequentFlyer","EverTravelledAbroad","TravelInsurance"
"1238",31,"Private Sector/Self Employed","Yes",900000,7,0,"No","Yes",0
"1239",34,"Private Sector/Self Employed","Yes",700000,6,0,"No","No",1
"1240",34,"Private Sector/Self Employed","Yes",1500000,6,1,"Yes","Yes",1
"1241",28,"Private Sector/Self Employed","Yes",700000,5,0,"Yes","No",0
"1242",33,"Government Sector","Yes",1100000,8,0,"No","No",1
"1243",28,"Private Sector/Self Employed","Yes",700000,3,1,"No","Yes",0
"1244",33,"Government Sector","Yes",700000,6,1,"No","No",1
"1245",25,"Private Sector/Self Employed","No",1150000,3,1,"No","Yes",0
"1246",26,"Private Sector/Self Employed","Yes",1400000,3,0,"No","Yes",1
"1247",26,"Private Sector/Self Employed","Yes",1250000,4,0,"No","No",0
"1248",26,"Private Sector/Self Employed","Yes",500000,7,0,"No","No",0
"1249",28,"Private Sector/Self Employed","Yes",1200000,5,0,"No","No",0
"1250",28,"Government Sector","Yes",600000,4,0,"No","No",0
"1251",28,"Private Sector/Self Employed","Yes",800000,7,0,"No","No",0
"1252",28,"Private Sector/Self Employed","Yes",500000,5,1,"No","No",1
"1253",34,"Private Sector/Self Employed","Yes",1050000,5,0,"No","No",0
"1254",25,"Private Sector/Self Employed","Yes",1700000,3,0,"Yes","No",1
"1255",34,"Private Sector/Self Employed","Yes",700000,8,0,"No","No",1
"1256",28,"Government Sector","Yes",1200000,3,0,"No","No",0
"1257",28,"Private Sector/Self Employed","Yes",500000,5,1,"No","No",1
"1258",28,"Private Sector/Self Employed","No",550000,5,0,"No","No",0
"1259",34,"Government Sector","Yes",1300000,7,1,"No","No",1
"1260",33,"Government Sector","Yes",400000,6,0,"No","No",1
"1261",30,"Private Sector/Self Employed","No",550000,4,0,"No","No",0
"1262",33,"Government Sector","Yes",800000,6,1,"No","No",1
"1263",27,"Government Sector","Yes",500000,4,0,"No","No",1
"1264",28,"Government Sector","Yes",600000,7,1,"No","No",0
"1265",31,"Government Sector","Yes",400000,6,0,"No","No",0
"1266",34,"Private Sector/Self Employed","Yes",1000000,5,0,"No","No",0
"1267",33,"Private Sector/Self Employed","Yes",1400000,8,1,"No","Yes",1
"1268",31,"Private Sector/Self Employed","Yes",1350000,3,0,"Yes","Yes",1
"1269",33,"Government Sector","Yes",1000000,5,0,"No","Yes",1
"1270",31,"Government Sector","Yes",1200000,3,0,"No","No",0
"1271",31,"Government Sector","No",350000,3,0,"No","No",0
"1272",25,"Private Sector/Self Employed","Yes",500000,4,1,"No","No",1
"1273",33,"Government Sector","Yes",650000,3,0,"No","No",1
"1274",29,"Private Sector/Self Employed","Yes",1200000,4,0,"Yes","No",0
"1275",34,"Private Sector/Self Employed","Yes",1000000,3,0,"No","No",0
"1276",29,"Private Sector/Self Employed","Yes",600000,6,0,"No","No",0
"1277",31,"Government Sector","Yes",1200000,5,1,"No","No",1
"1278",34,"Private Sector/Self Employed","Yes",1500000,2,0,"Yes","Yes",1
"1279",30,"Private Sector/Self Employed","No",550000,3,0,"No","No",1
"1280",29,"Private Sector/Self Employed","Yes",1200000,5,0,"Yes","No",1
"1281",25,"Private Sector/Self Employed","Yes",1400000,4,0,"No","Yes",1
"1282",29,"Government Sector","Yes",600000,4,0,"No","No",0
"1283",31,"Private Sector/Self Employed","Yes",1400000,3,0,"Yes","Yes",1
"1284",28,"Private Sector/Self Employed","Yes",900000,2,0,"Yes","No",0
"1285",33,"Government Sector","Yes",400000,5,0,"No","No",0
"1286",26,"Government Sector","Yes",500000,4,0,"No","No",0
"1287",28,"Private Sector/Self Employed","Yes",550000,3,0,"No","No",0
"1288",34,"Private Sector/Self Employed","Yes",500000,4,0,"No","No",0
"1289",28,"Private Sector/Self Employed","Yes",750000,3,0,"No","No",0
"1290",28,"Private Sector/Self Employed","Yes",800000,2,0,"No","No",0
"1291",31,"Private Sector/Self Employed","Yes",1400000,5,0,"Yes","Yes",1
"1292",34,"Private Sector/Self Employed","Yes",1500000,5,1,"Yes","Yes",1
"1293",33,"Government Sector","Yes",650000,9,1,"No","No",0
"1294",28,"Government Sector","Yes",300000,6,1,"No","No",0
"1295",28,"Private Sector/Self Employed","Yes",600000,4,0,"No","No",0
"1296",35,"Government Sector","Yes",900000,7,1,"Yes","No",1
"1297",29,"Private Sector/Self Employed","Yes",1050000,3,0,"No","No",0
"1298",28,"Government Sector","Yes",300000,4,0,"No","No",0
"1299",27,"Government Sector","Yes",500000,2,1,"No","No",1
"1300",28,"Private Sector/Self Employed","Yes",700000,6,1,"No","No",0
"1301",31,"Government Sector","Yes",1200000,6,0,"No","No",0
"1302",28,"Private Sector/Self Employed","No",550000,3,0,"No","No",0
"1303",28,"Private Sector/Self Employed","No",550000,3,0,"No","No",1
"1304",28,"Private Sector/Self Employed","Yes",1200000,5,0,"No","No",0
"1305",34,"Private Sector/Self Employed","Yes",1050000,5,0,"No","No",1
"1306",29,"Private Sector/Self Employed","Yes",900000,5,0,"No","No",1
"1307",28,"Private Sector/Self Employed","Yes",700000,5,1,"No","No",0
"1308",28,"Private Sector/Self Employed","Yes",900000,3,0,"No","No",0
"1309",31,"Private Sector/Self Employed","Yes",1250000,7,1,"No","No",0
"1310",33,"Private Sector/Self Employed","Yes",1400000,4,0,"No","Yes",1
"1311",28,"Private Sector/Self Employed","Yes",1150000,6,0,"No","No",1
"1312",28,"Private Sector/Self Employed","Yes",800000,3,0,"No","No",1
"1313",34,"Private Sector/Self Employed","Yes",1300000,5,0,"No","No",0
"1314",29,"Private Sector/Self Employed","Yes",900000,7,0,"No","No",0
"1315",31,"Private Sector/Self Employed","Yes",1400000,6,0,"No","Yes",1
"1316",25,"Private Sector/Self Employed","No",1150000,3,0,"No","No",0
"1317",31,"Private Sector/Self Employed","Yes",1400000,3,0,"No","Yes",1
"1318",25,"Private Sector/Self Employed","No",1700000,4,0,"Yes","No",1
"1320",26,"Private Sector/Self Employed","Yes",600000,6,0,"Yes","No",0
"1322",31,"Government Sector","No",300000,7,0,"No","No",0
"1323",34,"Private Sector/Self Employed","Yes",1050000,6,0,"No","No",1
"1324",34,"Private Sector/Self Employed","Yes",1750000,5,0,"No","No",0
"1325",33,"Government Sector","Yes",400000,9,1,"No","No",1
"1326",30,"Private Sector/Self Employed","No",800000,4,0,"No","No",1
"1327",34,"Private Sector/Self Employed","Yes",700000,5,0,"No","No",0
"1328",28,"Private Sector/Self Employed","Yes",800000,4,0,"Yes","No",0
"1329",28,"Private Sector/Self Employed","Yes",900000,2,0,"Yes","No",0
"1330",33,"Private Sector/Self Employed","Yes",1400000,4,0,"No","Yes",1
"1331",33,"Government Sector","Yes",1100000,4,0,"No","No",0
"1332",31,"Private Sector/Self Employed","Yes",1250000,5,0,"No","No",1
"1333",29,"Private Sector/Self Employed","Yes",1200000,4,0,"No","No",0
"1334",28,"Private Sector/Self Employed","Yes",1250000,5,0,"No","No",0
"1335",25,"Government Sector","Yes",750000,3,0,"No","Yes",1
"1336",25,"Government Sector","Yes",750000,5,1,"Yes","No",0
"1337",28,"Private Sector/Self Employed","Yes",900000,3,0,"No","No",0
"1338",28,"Private Sector/Self Employed","Yes",1250000,4,0,"No","No",0
"1339",28,"Private Sector/Self Employed","Yes",1450000,4,0,"Yes","Yes",1
"1340",34,"Private Sector/Self Employed","Yes",1500000,5,0,"Yes","Yes",1
"1341",28,"Private Sector/Self Employed","Yes",700000,4,1,"No","No",1
"1342",34,"Private Sector/Self Employed","Yes",1000000,3,0,"No","No",0
"1343",25,"Private Sector/Self Employed","Yes",1400000,3,0,"No","Yes",1
"1345",25,"Private Sector/Self Employed","Yes",1700000,3,0,"Yes","No",1
"1346",28,"Private Sector/Self Employed","Yes",700000,2,1,"No","No",0
"1347",29,"Private Sector/Self Employed","Yes",1100000,4,0,"No","No",0
"1348",28,"Private Sector/Self Employed","Yes",1300000,3,0,"No","No",0
"1349",33,"Government Sector","Yes",800000,4,0,"No","No",0
"1350",26,"Private Sector/Self Employed","Yes",1400000,3,0,"No","Yes",1
"1351",33,"Government Sector","Yes",700000,3,1,"No","No",1
"1352",28,"Private Sector/Self Employed","Yes",1100000,4,0,"No","No",0
"1353",31,"Government Sector","Yes",400000,5,0,"No","No",0
"1354",33,"Private Sector/Self Employed","Yes",1200000,2,0,"No","No",0
"1355",26,"Private Sector/Self Employed","Yes",1400000,9,1,"No","Yes",1
"1356",30,"Private Sector/Self Employed","No",650000,6,0,"Yes","No",1
"1357",30,"Private Sector/Self Employed","No",550000,3,0,"Yes","Yes",0
"1358",30,"Private Sector/Self Employed","No",550000,7,0,"No","No",0
"1359",26,"Private Sector/Self Employed","Yes",1500000,4,0,"Yes","Yes",1
"1360",32,"Government Sector","Yes",850000,9,0,"Yes","No",1
"1361",34,"Private Sector/Self Employed","Yes",1300000,2,0,"No","No",0
"1362",26,"Private Sector/Self Employed","Yes",1400000,4,0,"No","Yes",1
"1363",28,"Private Sector/Self Employed","Yes",700000,2,1,"No","No",1
"1364",28,"Government Sector","Yes",600000,7,0,"No","No",0
"1365",29,"Private Sector/Self Employed","Yes",350000,6,1,"No","No",0
"1366",34,"Private Sector/Self Employed","No",750000,3,0,"Yes","No",0
"1367",31,"Government Sector","No",1750000,2,0,"No","No",0
"1368",27,"Government Sector","Yes",850000,5,0,"No","No",1
"1369",29,"Private Sector/Self Employed","Yes",1350000,6,0,"No","Yes",1
"1370",34,"Private Sector/Self Employed","No",750000,4,0,"Yes","No",0
"1371",28,"Private Sector/Self Employed","Yes",800000,6,0,"No","No",0
"1372",28,"Government Sector","Yes",1200000,4,0,"No","No",1
"1373",33,"Private Sector/Self Employed","Yes",550000,5,1,"No","No",1
"1374",28,"Private Sector/Self Employed","Yes",650000,4,0,"Yes","No",0
"1375",28,"Government Sector","Yes",300000,6,1,"No","No",0
"1376",28,"Private Sector/Self Employed","Yes",1450000,5,0,"Yes","Yes",1
"1377",27,"Government Sector","Yes",750000,3,1,"No","No",0
"1378",26,"Government Sector","Yes",1450000,3,0,"Yes","Yes",1
"1379",34,"Government Sector","Yes",1300000,2,1,"No","No",0
"1380",35,"Private Sector/Self Employed","No",800000,3,0,"Yes","No",0
"1381",28,"Private Sector/Self Employed","Yes",500000,5,1,"No","No",1
"1382",25,"Private Sector/Self Employed","Yes",1400000,4,1,"No","Yes",1
"1383",28,"Private Sector/Self Employed","Yes",1400000,4,0,"No","Yes",1
"1384",25,"Private Sector/Self Employed","Yes",1400000,2,1,"No","Yes",1
"1385",34,"Private Sector/Self Employed","Yes",1000000,4,0,"Yes","No",0
"1386",27,"Government Sector","Yes",500000,4,0,"No","No",0
"1387",28,"Private Sector/Self Employed","Yes",500000,4,0,"No","No",0
"1388",30,"Private Sector/Self Employed","No",650000,6,1,"No","No",1
"1389",27,"Private Sector/Self Employed","No",350000,5,1,"No","No",0
"1390",25,"Private Sector/Self Employed","No",1150000,6,0,"No","No",1
"1391",32,"Government Sector","Yes",900000,5,0,"No","No",0
"1392",31,"Private Sector/Self Employed","Yes",1400000,4,1,"No","Yes",0
"1393",27,"Government Sector","Yes",1050000,2,0,"No","No",1
"1394",33,"Government Sector","Yes",1000000,4,0,"Yes","Yes",0
"1395",30,"Private Sector/Self Employed","No",650000,3,1,"No","No",0
"1396",35,"Government Sector","Yes",1100000,2,1,"No","No",0
"1397",32,"Government Sector","Yes",350000,5,1,"No","No",0
"1398",28,"Private Sector/Self Employed","Yes",900000,9,1,"No","Yes",0
"1399",31,"Private Sector/Self Employed","Yes",1400000,3,0,"Yes","Yes",1
"1400",25,"Private Sector/Self Employed","No",600000,3,1,"No","No",0
"1401",29,"Private Sector/Self Employed","Yes",1050000,6,1,"Yes","No",0
"1402",28,"Government Sector","Yes",300000,3,0,"No","No",0
"1403",26,"Private Sector/Self Employed","Yes",600000,4,1,"No","No",0
"1404",28,"Private Sector/Self Employed","Yes",750000,2,0,"No","No",1
"1405",34,"Private Sector/Self Employed","Yes",1000000,6,0,"No","No",1
"1406",28,"Government Sector","Yes",600000,8,0,"No","No",0
"1408",31,"Private Sector/Self Employed","Yes",1250000,4,0,"No","No",0
"1410",28,"Private Sector/Self Employed","Yes",1200000,3,0,"No","No",1
"1411",28,"Private Sector/Self Employed","Yes",550000,8,0,"No","No",0
"1413",26,"Private Sector/Self Employed","Yes",500000,4,1,"No","No",1
"1414",28,"Private Sector/Self Employed","Yes",1150000,6,0,"No","No",0
"1415",34,"Private Sector/Self Employed","Yes",700000,3,0,"No","No",0
"1416",31,"Government Sector","Yes",1300000,3,1,"No","No",1
"1417",26,"Private Sector/Self Employed","Yes",600000,6,1,"No","No",0
"1418",35,"Private Sector/Self Employed","No",800000,5,0,"No","No",0
"1419",30,"Private Sector/Self Employed","No",800000,4,0,"No","No",1
"1420",27,"Government Sector","Yes",1050000,5,0,"No","No",0
"1422",31,"Private Sector/Self Employed","Yes",1350000,3,1,"Yes","Yes",1
"1423",28,"Private Sector/Self Employed","Yes",700000,4,0,"Yes","No",0
"1424",33,"Private Sector/Self Employed","Yes",550000,8,0,"No","No",0
"1425",31,"Government Sector","Yes",400000,9,0,"No","No",0
"1428",25,"Private Sector/Self Employed","No",1150000,6,0,"No","No",1
"1429",34,"Private Sector/Self Employed","Yes",1300000,7,0,"No","No",1
"1430",32,"Government Sector","Yes",650000,3,0,"No","No",1
"1431",25,"Private Sector/Self Employed","Yes",1400000,6,0,"No","Yes",1
"1432",25,"Private Sector/Self Employed","No",1150000,6,0,"No","No",1
"1433",28,"Private Sector/Self Employed","Yes",700000,3,0,"No","No",1
"1434",31,"Private Sector/Self Employed","Yes",1400000,4,0,"No","Yes",1
"1435",34,"Private Sector/Self Employed","Yes",1750000,3,0,"Yes","No",0
"1436",34,"Private Sector/Self Employed","Yes",500000,4,0,"No","No",1
"1437",31,"Private Sector/Self Employed","Yes",900000,5,0,"No","No",0
"1438",30,"Private Sector/Self Employed","No",500000,7,0,"No","No",1
"1440",33,"Government Sector","Yes",400000,7,1,"No","No",1
"1441",34,"Private Sector/Self Employed","Yes",850000,5,0,"No","No",0
"1442",31,"Government Sector","Yes",400000,4,0,"No","No",0
"1443",26,"Private Sector/Self Employed","Yes",500000,2,0,"No","No",0
"1444",29,"Private Sector/Self Employed","Yes",1200000,7,1,"No","No",1
"1445",31,"Private Sector/Self Employed","Yes",900000,6,0,"No","No",0
"1446",28,"Private Sector/Self Employed","Yes",1100000,4,1,"No","No",0
"1447",29,"Private Sector/Self Employed","Yes",500000,5,0,"No","No",1
"1448",31,"Government Sector","No",300000,3,1,"No","No",0
"1449",32,"Government Sector","Yes",800000,4,1,"No","No",0
"1450",29,"Private Sector/Self Employed","Yes",1100000,4,1,"No","No",0
"1452",25,"Private Sector/Self Employed","No",1150000,4,1,"No","No",0
"1453",31,"Private Sector/Self Employed","Yes",1350000,3,0,"No","Yes",1
"1454",30,"Private Sector/Self Employed","No",550000,3,1,"No","No",0
"1455",27,"Government Sector","Yes",1050000,7,1,"No","No",0
"1456",33,"Government Sector","Yes",1100000,4,0,"No","No",1
"1457",25,"Private Sector/Self Employed","No",1700000,3,0,"Yes","No",1
"1458",25,"Private Sector/Self Employed","No",600000,3,0,"No","No",1
"1459",28,"Private Sector/Self Employed","Yes",800000,4,0,"No","No",0
"1460",34,"Private Sector/Self Employed","Yes",1500000,5,1,"Yes","Yes",1
"1461",28,"Private Sector/Self Employed","Yes",550000,4,0,"No","No",0
"1462",31,"Government Sector","No",400000,8,0,"No","No",0
"1463",28,"Private Sector/Self Employed","Yes",500000,3,1,"No","No",0
"1464",28,"Private Sector/Self Employed","Yes",1150000,6,0,"No","No",0
"1465",31,"Government Sector","Yes",400000,3,0,"No","No",0
"1466",35,"Private Sector/Self Employed","No",950000,2,1,"No","No",0
"1467",29,"Private Sector/Self Employed","Yes",1200000,7,0,"No","No",0
"1468",32,"Government Sector","Yes",850000,5,1,"Yes","No",0
"1469",31,"Private Sector/Self Employed","Yes",1250000,6,1,"No","No",0
"1470",28,"Government Sector","Yes",300000,6,0,"No","No",0
"1471",33,"Government Sector","Yes",1100000,4,0,"No","No",0
"1472",35,"Government Sector","Yes",1100000,3,0,"No","No",1
"1473",28,"Private Sector/Self Employed","Yes",1200000,5,0,"No","No",0
"1474",29,"Private Sector/Self Employed","Yes",1050000,6,0,"No","No",0
"1477",33,"Private Sector/Self Employed","Yes",1750000,6,0,"No","No",1
"1478",34,"Private Sector/Self Employed","Yes",1000000,5,0,"No","No",0
"1480",25,"Private Sector/Self Employed","Yes",1400000,7,0,"No","Yes",1
"1481",27,"Government Sector","Yes",750000,4,0,"Yes","No",0
"1482",34,"Private Sector/Self Employed","Yes",500000,6,0,"No","No",1
"1483",33,"Government Sector","Yes",700000,4,0,"No","Yes",0
"1484",28,"Government Sector","Yes",300000,3,1,"No","No",0
"1485",28,"Private Sector/Self Employed","Yes",800000,4,1,"No","No",0
"1486",34,"Private Sector/Self Employed","Yes",500000,4,0,"No","No",0
"1487",32,"Government Sector","Yes",350000,5,0,"No","No",0
"1488",32,"Government Sector","Yes",350000,3,0,"No","No",0
"1489",28,"Private Sector/Self Employed","Yes",700000,4,0,"No","No",0
"1490",29,"Private Sector/Self Employed","Yes",1350000,4,0,"No","Yes",1
"1491",25,"Private Sector/Self Employed","No",1150000,5,0,"No","No",0
"1492",26,"Private Sector/Self Employed","Yes",1400000,7,1,"Yes","Yes",1
"1493",27,"Private Sector/Self Employed","No",1000000,6,0,"No","No",0
"1495",25,"Government Sector","Yes",750000,6,0,"No","No",1
"1496",29,"Private Sector/Self Employed","Yes",600000,4,0,"No","No",1
"1497",28,"Private Sector/Self Employed","Yes",750000,4,0,"No","No",0
"1498",33,"Government Sector","Yes",400000,6,0,"No","No",1
"1499",33,"Government Sector","Yes",600000,4,0,"No","No",0
"1500",28,"Private Sector/Self Employed","Yes",1200000,3,0,"No","No",0
"1501",25,"Private Sector/Self Employed","Yes",1750000,3,0,"No","Yes",1
"1502",28,"Private Sector/Self Employed","Yes",800000,4,0,"No","No",0
"1503",28,"Private Sector/Self Employed","Yes",750000,6,1,"No","No",0
"1504",29,"Private Sector/Self Employed","Yes",500000,4,0,"No","No",0
"1505",34,"Private Sector/Self Employed","Yes",850000,2,0,"No","No",0
"1506",27,"Government Sector","Yes",500000,4,0,"No","No",0
"1507",28,"Private Sector/Self Employed","Yes",1150000,6,1,"No","No",0
"1508",27,"Government Sector","Yes",750000,5,0,"No","No",0
"1509",25,"Private Sector/Self Employed","No",1700000,5,0,"Yes","Yes",1
"1510",28,"Private Sector/Self Employed","Yes",1300000,4,1,"No","No",0
"1511",26,"Private Sector/Self Employed","Yes",500000,3,0,"No","No",0
"1512",26,"Private Sector/Self Employed","Yes",1300000,5,0,"No","No",0
"1513",28,"Private Sector/Self Employed","Yes",500000,3,0,"No","No",0
"1514",28,"Private Sector/Self Employed","Yes",1450000,5,0,"Yes","Yes",1
"1515",34,"Private Sector/Self Employed","Yes",1000000,6,1,"No","No",1
"1516",32,"Government Sector","Yes",350000,3,1,"No","No",0
"1517",34,"Government Sector","Yes",1300000,2,0,"No","No",0
"1518",26,"Private Sector/Self Employed","Yes",1400000,4,1,"No","Yes",1
"1519",31,"Private Sector/Self Employed","Yes",1250000,6,0,"No","No",1
"1520",28,"Government Sector","Yes",300000,6,0,"No","No",1
"1521",28,"Government Sector","Yes",600000,4,1,"No","No",0
"1522",29,"Private Sector/Self Employed","Yes",1350000,5,0,"No","Yes",1
"1523",31,"Government Sector","No",400000,3,0,"No","No",0
"1524",27,"Government Sector","Yes",750000,5,0,"No","No",0
"1525",29,"Private Sector/Self Employed","Yes",1200000,3,0,"No","No",0
"1526",30,"Private Sector/Self Employed","No",800000,4,0,"No","No",0
"1527",30,"Private Sector/Self Employed","No",550000,5,1,"No","No",1
"1528",31,"Private Sector/Self Employed","Yes",1250000,5,0,"No","No",1
"1529",28,"Private Sector/Self Employed","Yes",750000,2,0,"No","No",0
"1530",31,"Private Sector/Self Employed","Yes",1250000,4,0,"No","No",1
"1531",26,"Private Sector/Self Employed","Yes",500000,5,0,"No","No",0
"1532",27,"Government Sector","Yes",750000,5,0,"No","No",0
"1533",28,"Government Sector","Yes",1200000,5,0,"No","No",0
"1534",33,"Government Sector","Yes",600000,8,0,"No","No",1
"1535",33,"Government Sector","Yes",1750000,6,0,"No","No",1
"1537",26,"Private Sector/Self Employed","Yes",600000,7,1,"No","No",0
"1538",29,"Private Sector/Self Employed","Yes",500000,4,0,"No","No",1
"1539",31,"Government Sector","Yes",400000,5,0,"No","No",0
"1540",33,"Private Sector/Self Employed","Yes",550000,7,1,"Yes","No",1
"1541",34,"Government Sector","Yes",1100000,4,0,"No","No",0
"1542",28,"Private Sector/Self Employed","Yes",1100000,4,0,"No","No",0
"1543",28,"Private Sector/Self Employed","Yes",800000,3,0,"No","No",0
"1544",32,"Government Sector","Yes",350000,4,0,"No","No",0
"1545",29,"Private Sector/Self Employed","Yes",1200000,8,0,"No","No",0
"1546",34,"Private Sector/Self Employed","No",1400000,3,0,"Yes","Yes",1
"1547",30,"Private Sector/Self Employed","No",550000,2,1,"No","No",0
"1548",34,"Private Sector/Self Employed","Yes",1500000,4,1,"Yes","Yes",1
"1549",27,"Private Sector/Self Employed","No",450000,3,0,"No","No",0
"1550",28,"Private Sector/Self Employed","Yes",700000,4,1,"No","No",0
"1551",28,"Private Sector/Self Employed","Yes",1200000,7,0,"No","No",0
"1552",28,"Private Sector/Self Employed","Yes",1300000,6,0,"No","No",0
"1553",28,"Private Sector/Self Employed","Yes",750000,2,0,"No","No",1
"1554",28,"Private Sector/Self Employed","Yes",1450000,3,0,"Yes","Yes",1
"1555",31,"Private Sector/Self Employed","Yes",900000,5,0,"Yes","No",0
"1556",26,"Private Sector/Self Employed","Yes",1400000,9,1,"No","Yes",1
"1558",32,"Government Sector","Yes",800000,7,0,"No","No",0
"1559",32,"Government Sector","Yes",800000,5,0,"No","No",0
"1560",34,"Private Sector/Self Employed","Yes",1050000,3,1,"No","No",0
"1561",28,"Private Sector/Self Employed","Yes",1200000,4,0,"No","No",0
"1562",28,"Private Sector/Self Employed","Yes",700000,7,0,"No","No",0
"1563",29,"Private Sector/Self Employed","Yes",1100000,4,0,"No","No",1
"1564",31,"Private Sector/Self Employed","Yes",1250000,7,0,"No","No",0
"1565",30,"Private Sector/Self Employed","No",550000,5,0,"No","No",0
"1566",28,"Private Sector/Self Employed","Yes",800000,2,0,"No","No",0
"1567",34,"Private Sector/Self Employed","Yes",1500000,3,1,"Yes","Yes",1
"1568",33,"Private Sector/Self Employed","Yes",1500000,5,0,"Yes","Yes",1
"1569",29,"Private Sector/Self Employed","Yes",1200000,5,0,"No","Yes",0
"1570",27,"Government Sector","Yes",500000,5,0,"No","No",0
"1571",28,"Private Sector/Self Employed","Yes",700000,5,0,"No","Yes",0
"1572",34,"Private Sector/Self Employed","Yes",1500000,6,0,"Yes","Yes",1
"1573",25,"Private Sector/Self Employed","No",1150000,5,0,"Yes","No",0
"1574",33,"Government Sector","Yes",650000,4,1,"No","No",0
"1575",28,"Private Sector/Self Employed","No",550000,7,0,"No","No",0
"1576",30,"Private Sector/Self Employed","No",550000,3,0,"No","No",0
"1577",28,"Private Sector/Self Employed","Yes",1100000,4,0,"No","No",1
"1578",28,"Government Sector","No",300000,4,0,"No","No",0
"1579",27,"Government Sector","Yes",500000,6,1,"No","No",0
"1580",28,"Private Sector/Self Employed","Yes",1200000,3,1,"Yes","No",0
"1581",28,"Private Sector/Self Employed","Yes",1200000,5,1,"Yes","No",0
"1582",33,"Private Sector/Self Employed","Yes",550000,6,0,"No","No",1
"1583",31,"Private Sector/Self Employed","Yes",900000,4,0,"No","No",0
"1584",28,"Government Sector","Yes",300000,6,0,"No","No",0
"1585",28,"Government Sector","Yes",300000,3,0,"No","No",0
"1586",25,"Private Sector/Self Employed","Yes",1700000,2,1,"Yes","No",1
"1587",28,"Private Sector/Self Employed","Yes",1450000,4,0,"Yes","Yes",1
"1588",28,"Private Sector/Self Employed","Yes",750000,3,0,"No","No",0
"1589",31,"Private Sector/Self Employed","Yes",900000,5,1,"Yes","No",0
"1590",25,"Private Sector/Self Employed","Yes",1400000,4,0,"Yes","Yes",1
"1591",30,"Private Sector/Self Employed","No",550000,5,0,"Yes","No",0
"1592",28,"Government Sector","Yes",300000,3,0,"No","No",0
"1593",25,"Private Sector/Self Employed","No",1700000,5,0,"Yes","No",1
"1594",26,"Private Sector/Self Employed","Yes",500000,8,0,"No","No",0
"1595",25,"Private Sector/Self Employed","Yes",1400000,5,1,"No","Yes",1
"1596",34,"Private Sector/Self Employed","Yes",500000,5,0,"No","No",0
"1597",31,"Government Sector","No",400000,3,0,"No","No",0
"1598",31,"Private Sector/Self Employed","Yes",1250000,6,0,"No","No",0
"1599",32,"Government Sector","Yes",650000,5,1,"No","No",0
"1600",27,"Government Sector","Yes",850000,3,0,"No","No",0
"1601",28,"Government Sector","Yes",300000,7,0,"No","No",1
"1602",28,"Private Sector/Self Employed","Yes",1250000,4,1,"No","No",0
"1603",28,"Private Sector/Self Employed","Yes",700000,5,0,"No","No",0
"1604",28,"Government Sector","Yes",600000,6,0,"No","No",0
"1605",29,"Private Sector/Self Employed","Yes",1050000,7,0,"No","No",0
"1606",26,"Private Sector/Self Employed","Yes",450000,4,0,"No","No",0
"1607",33,"Government Sector","Yes",700000,2,0,"No","No",0
"1608",29,"Private Sector/Self Employed","Yes",350000,8,1,"No","No",1
"1609",26,"Private Sector/Self Employed","Yes",1500000,6,0,"Yes","Yes",1
"1610",27,"Government Sector","Yes",500000,3,1,"No","No",0
"1611",33,"Private Sector/Self Employed","Yes",550000,5,0,"Yes","No",0
"1612",26,"Private Sector/Self Employed","Yes",1400000,6,1,"No","Yes",1
"1613",31,"Private Sector/Self Employed","Yes",1400000,6,0,"No","Yes",1
"1614",28,"Private Sector/Self Employed","Yes",550000,4,0,"Yes","No",0
"1615",34,"Government Sector","Yes",1300000,4,0,"No","No",1
"1616",30,"Private Sector/Self Employed","No",650000,5,0,"No","No",0
"1617",27,"Government Sector","Yes",500000,2,0,"No","No",1
"1618",28,"Private Sector/Self Employed","Yes",1150000,7,1,"No","No",0
"1619",28,"Government Sector","Yes",300000,4,0,"No","No",0
"1620",25,"Government Sector","Yes",750000,6,0,"No","No",0
"1621",27,"Government Sector","Yes",850000,4,1,"No","No",0
"1622",31,"Private Sector/Self Employed","Yes",900000,4,1,"No","No",0
"1623",34,"Private Sector/Self Employed","Yes",1000000,9,0,"No","No",1
"1624",33,"Private Sector/Self Employed","Yes",1400000,3,0,"No","Yes",1
"1625",25,"Private Sector/Self Employed","No",1150000,6,1,"No","No",1
"1626",28,"Government Sector","Yes",300000,3,1,"No","No",1
"1627",26,"Private Sector/Self Employed","Yes",600000,3,0,"No","No",0
"1628",29,"Private Sector/Self Employed","Yes",1050000,3,0,"No","No",1
"1629",29,"Private Sector/Self Employed","Yes",1150000,4,1,"No","No",0
"1630",34,"Private Sector/Self Employed","Yes",1000000,5,0,"Yes","No",0
"1631",31,"Private Sector/Self Employed","Yes",900000,4,1,"No","No",1
"1632",33,"Government Sector","Yes",1000000,3,0,"No","No",0
"1633",32,"Government Sector","Yes",800000,7,0,"No","No",0
"1634",25,"Private Sector/Self Employed","No",1150000,3,0,"Yes","No",0
"1635",34,"Private Sector/Self Employed","Yes",1000000,5,0,"No","No",0
"1636",31,"Private Sector/Self Employed","Yes",1250000,5,0,"No","No",0
"1637",28,"Private Sector/Self Employed","Yes",1400000,4,0,"Yes","Yes",0
"1638",35,"Private Sector/Self Employed","No",800000,5,0,"No","Yes",1
"1639",29,"Private Sector/Self Employed","Yes",1200000,4,0,"No","No",1
